Botanica Plant Ordering Spreadsheet,,,,,,,,,,,,,
,,,,Miami-Dade County,,,,,,,,,
Item,Size,Nur.,Quantity,Berneckers,Butlers,Capri,Consolidated,Sturon,Sunshine,Vine.Culture,Quality,Tim.Griffin,FL.Indoor
Aglo,"6""",,,,,,,,,,,,
Aglo,"8""",,,,,,,,,,,,
Aglo,"10""",,,,,,,,,,,,
Aglo,"14""",,,,,,,,,,,,
Aglo (Mary Ann/Maria),"6""",,,6.75,,5.5,,6,,,,,8.25
Aglo (Mary Ann/Maria),"8""",,,,,9.5,,10.5,,,,,14
Aglo (Mary Ann/Maria),"10""",,,19.5,,15.5,14.5,15,,,,,18
Aglo (Mary Ann/Maria),"14""",,,50,,34,29.5,34.5,,,,,49
Aglo (Siam),"6""",,,7.5,,,,,,,,,
Aglo (Siam),"8""",,,,,13.5,,,,,,,
Aglo (Siam),"10""",,,,,22,,,,,,,
Aglo (Siam),"14""",,,,,,,,,,,,
Aglo (Silver Bay),"6""",,,6.75,,6,,6,,,,,7
Aglo (Silver Bay),"8""",,,13.5,,9,9.5,10.5,,,,,9.5
Aglo (Silver Bay),"10""",,,17.5,,14,13.5,14,,,,,14.75
Aglo (Silver Bay),"14""",,,35,,32,28,34.5,,,,,35.5
Aglo (Spring Snow),"8""",,,,,12,,13.5,,,,,
Aglo (Spring Snow),"10""",,,,,20,,,,,,,
Aglo (Spring Snow),"14""",,,,,44,,,,,,,
Art,"10""",,,15,13,14,,,,,,,14.5
Art,"14""",,,,,31,,,,,,,30
Art Cane,"12""",,,,,55,,,,58,,,48
Art Cane,"14""",,,,,65,,,,,,,
Dorado,"6""",,,,,,,4.5,,,,,4.5
Dorado,"8""",,,,,,,8,,,,,8.25
Dorado Cane,"10""",,,,,38.5,,32,,31,,,35
Dorado Cane,"12""",,,,,49.5,,,,58,,,48
Elegance Cane,"10""",,,,,33,,32,,28,,,35
Elegance Cane,"12""",,,,,55,,65,,52,,,48
Elegance Cane,"14""",,,,,65,,65,,64,,,
Giganta,"10""",,,,,11.5,,,,,,,
Giganta,"14""",,,,,33,,,,,,,
Green Jewel,"6""",,,,,4,,4.5,,,,,4.5
Green Jewel,"10""",,,15,,14,,14.5,,,,,14.5
Green Jewel Cane,"10""",,,,,31,,35,,31,,,35
Green Jewel Cane,"12""",,,,,,,,,58,,,
Hawaiian Sunshine,"10""",,,,,,,,,28,,,35
Hawaiian Sunshine,"12""",,,,,,,,,56,,,48
Jade Jewel,"6""",,,,,,3.75,4.5,,,,,
Jade Jewel,"10""",,,,,,,14.5,,,,,
Janet Craig,"10""",,,14,,13.5,,13.5,,,,,14.5
Janet Craig,"14""",,,24,,29,,30,,,,,30
Janet Craig Cane,"10""",,,,,31,,,,,,,35
Janet Craig Cane,"12""",,,,,51,,,,,,,48
Janet Craig Cane,"14""",,,,,60,,,,64,,,
JC Compacta,"6""",,,3.75,,4,3.75,4.5,,,,,4.5
JC Compacta,"10""",,,15,,13.5,14.5,14.5,,,,,14.5
JC Compacta Cane,"10""",,,,,33,38.5,,,31,,,35
JC Compacta Cane,"12""",,,,,50,55,,,60,,,48
Lemon Lime,"10""",,,,13,13.5,14.5,,,,,,
Lemon Lime,"14""",,,,,29,32.5,,,,,,
Lemon Lime Cane,"10""",,,,,31,,,,31,,,
Lemon Lime Cane,"12""",,,,,50,,,,58,,,
