Botanica Plant Ordering Spreadsheet,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item,Size,Nur.,Quantity,Boyd,Carter Road,Michaels,Mcdougald,Mulvehill,,,,,,
Aglo (Mary Ann/Maria),"6""",,,,,5.00,,,,,,,,
Aglo (Mary Ann/Maria),"8""",,,,,,,,,,,,,
Aglo (Mary Ann/Maria),"10""",,,,,14.70,,,,,,,,
Aglo (Mary Ann/Maria),"14""",,,,,,,,,,,,,
Aglo (Siam),"6""",,,,,,,,,,,,,
Aglo (Siam),"8""",,,,,,,,,,,,,
Aglo (Siam),"10""",,,,,,,,,,,,,
Aglo (Siam),"14""",,,,,,,,,,,,,
Aglo (Silver Bay),"6""",,,,,,,,,,,,,
Aglo (Silver Bay),"8""",,,,,,,,,,,,,
Aglo (Silver Bay),"10""",,,,,14.70,,,,,,,,
Aglo (Silver Bay),"14""",,,,,,,,,,,,,
Aglo (Spring Snow),"8""",,,,,,,,,,,,,
Aglo (Spring Snow),"10""",,,,,,,,,,,,,
Aglo (Spring Snow),"14""",,,,,,,,,,,,,
Art,"10""",,,,14.00,,,,,,,,,
Art,"14""",,,,,,,,,,,,,
Art Cane,"12""",,,,,,,,,,,,,
Art Cane,"14""",,,,,,,,,,,,,
Dorado,"6""",,,,,,,,,,,,,
Dorado,"8""",,,,,,,,,,,,,
Dorado Cane,"10""",,,,30.00,,,,,,,,,
Dorado Cane,"12""",,,,,,,,,,,,,
Elegance Cane,"12""",,,,50.00,,,,,,,,,
Giganta,"10""",,,,,,,,,,,,,
Giganta,"14""",,,,,,,,,,,,,
Green Jewel,"6""",,,,,,,,,,,,,
Green Jewel,"10""",,,,14.00,,,,,,,,,
Green Jewel Cane,"10""",,,,,,,,,,,,,
Green Jewel Cane,"12""",,,,,,,,,,,,,
Hawaiian Sunshine,"10""",,,,14.00,,,,,,,,,
Hawaiian Sunshine,"12""",,,,,,,,,,,,,
Jade Jewel,"6""",,,,,,,,,,,,,
Jade Jewel,"10""",,,,,,,,,,,,,
Jade Jewel Cane,"10""",,,,30.00,,,,,,,,,
Janet Craig,"10""",,,,13.00,,,,,,,,,
Janet Craig,"14""",,,,,,,,,,,,,
Janet Craig Cane,"10""",,,,,12.00,,,,,,,,
Janet Craig Cane,"12""",,,,,,,,,,,,,
Janet Craig Cane,"14""",,,,,,,,,,,,,
JC Compacta,"6""",,,,4.00,,,3.00,,,,,,
JC Compacta,"10""",,,,,,,,,,,,,
